specification,observations,r_squared,adjusted_r_squared,aic,bic,durbin_watson,ljung_box_p_value_lag_12
"Static Model 4, matched sample",134,0.3394,0.2425,211.5929,263.754,0.4159,0.0
Dynamic Model,134,0.8226,0.7949,37.3857,92.4446,2.4982,0.0089
