period,residential_price_real_2025_01,standard_resid,student_resid,hat_diag,cooks_d,large_studentized_residual,high_cooks_distance,high_leverage
2015-05-01,16.203688760806916,2.997069019140176,3.1058360230627198,0.11537299968119838,0.06508261244339883,True,True,False
2015-01-01,15.611964753543177,2.8172174657371416,2.905427735559809,0.12396965391339614,0.06239711032112775,True,True,False
2015-06-01,15.810014348409682,2.833281116417358,2.9232110279136863,0.11729386498641967,0.05926059137980346,True,True,False
2015-02-01,15.748684127779995,2.3704248705647384,2.4190757384489765,0.13093870424363782,0.04703244055657514,True,True,False
2015-07-01,15.409779695337642,2.4077525397427717,2.4591392644125505,0.11758000949020955,0.042915022735242205,True,True,False
2015-04-01,16.338139970028195,1.9836114210282454,2.0091897433625157,0.1590579092111673,0.04134565480036101,True,True,False
2021-07-01,13.760100219563594,-1.9546678116102185,-1.9788756497849207,0.16045316302438234,0.04056736228691996,False,True,False
2026-03-01,15.827676608344714,1.8912726137837566,1.9126363051990691,0.14722179921666717,0.034306135097053256,False,True,False
2026-04-01,16.302747505317278,2.0110985470470357,2.038021161263542,0.12769561961910697,0.03289289856965814,True,True,False
2015-08-01,15.316045380262402,2.0041775635581573,2.03075773512906,0.11610819018856655,0.0293132271065547,True,False,False
