model,model_label,rmse,mae,mean_error,maximum_absolute_error,rmse_improvement_vs_naive_pct,mae_improvement_vs_naive_pct,rmse_rank
ar3_price_history,AR(3): price history,0.23801322800737076,0.1968761842996951,0.014460817358864878,0.5356060804364873,20.874448521912118,18.326036482241054,1
ar3_lagged_controls,AR(3): lagged controls,0.28254234173448933,0.2270410545400051,0.09115641772428947,0.6774206608564874,6.071108766444248,5.812158684941498,2
naive_previous_month,Previous-month naive,0.30080451075691195,0.2410513409905556,0.013907608760995505,0.7556273850455302,0.0,0.0,3
ar3_conditional_controls,AR(3): conditional controls,0.3024290244359108,0.24590799296063212,0.09732337207713722,0.6497117038063198,-0.5400562893525435,-2.0147790715948735,4
seasonal_naive,Seasonal naive,0.3577347057089699,0.30222523978366395,-0.0016381214431055262,0.7228375194902892,-18.92597780824662,-25.37795414940468,5
